[Epoch 001] Train Loss=0.2230 | Val Loss=1.3855 | Train Acc=0.9147 | Val Acc=0.5625

[Epoch 002] Train Loss=0.1151 | Val Loss=0.5985 | Train Acc=0.9580 | Val Acc=0.7500

[Epoch 003] Train Loss=0.0890 | Val Loss=1.1527 | Train Acc=0.9691 | Val Acc=0.6250

[Epoch 004] Train Loss=0.0739 | Val Loss=0.7660 | Train Acc=0.9739 | Val Acc=0.6250

[Epoch 005] Train Loss=0.0671 | Val Loss=0.6745 | Train Acc=0.9755 | Val Acc=0.6875

[Epoch 006] Train Loss=0.0633 | Val Loss=0.6691 | Train Acc=0.9766 | Val Acc=0.6875

[Epoch 007] Train Loss=0.0544 | Val Loss=0.4103 | Train Acc=0.9806 | Val Acc=0.8125

[Epoch 008] Train Loss=0.0515 | Val Loss=1.0957 | Train Acc=0.9814 | Val Acc=0.5625

[Epoch 009] Train Loss=0.0471 | Val Loss=0.4509 | Train Acc=0.9835 | Val Acc=0.6875

[Epoch 010] Train Loss=0.0427 | Val Loss=0.3339 | Train Acc=0.9843 | Val Acc=0.8750

[Epoch 011] Train Loss=0.0350 | Val Loss=1.6522 | Train Acc=0.9879 | Val Acc=0.5625

[Epoch 012] Train Loss=0.0330 | Val Loss=1.0759 | Train Acc=0.9872 | Val Acc=0.6250

[Epoch 013] Train Loss=0.0398 | Val Loss=0.6800 | Train Acc=0.9847 | Val Acc=0.7500

[Epoch 014] Train Loss=0.0329 | Val Loss=0.3584 | Train Acc=0.9893 | Val Acc=0.8125

[Epoch 015] Train Loss=0.0278 | Val Loss=0.2282 | Train Acc=0.9908 | Val Acc=0.8750

[Epoch 016] Train Loss=0.0285 | Val Loss=0.4807 | Train Acc=0.9895 | Val Acc=0.8125

[Epoch 017] Train Loss=0.0288 | Val Loss=0.7318 | Train Acc=0.9895 | Val Acc=0.7500

[Epoch 018] Train Loss=0.0210 | Val Loss=0.6540 | Train Acc=0.9910 | Val Acc=0.7500

[Epoch 019] Train Loss=0.0260 | Val Loss=0.1522 | Train Acc=0.9910 | Val Acc=0.9375

[Epoch 020] Train Loss=0.0272 | Val Loss=0.1600 | Train Acc=0.9904 | Val Acc=0.9375

[Epoch 021] Train Loss=0.0197 | Val Loss=0.0815 | Train Acc=0.9925 | Val Acc=0.9375

[Epoch 022] Train Loss=0.0259 | Val Loss=0.7744 | Train Acc=0.9900 | Val Acc=0.6875

[Epoch 023] Train Loss=0.0202 | Val Loss=0.3554 | Train Acc=0.9918 | Val Acc=0.8125

[Epoch 024] Train Loss=0.0182 | Val Loss=0.2152 | Train Acc=0.9944 | Val Acc=0.8750

[Epoch 025] Train Loss=0.0187 | Val Loss=0.8569 | Train Acc=0.9927 | Val Acc=0.7500

[Epoch 026] Train Loss=0.0180 | Val Loss=0.1636 | Train Acc=0.9944 | Val Acc=0.9375

[Epoch 027] Train Loss=0.0175 | Val Loss=0.3191 | Train Acc=0.9933 | Val Acc=0.8750

[Epoch 028] Train Loss=0.0153 | Val Loss=0.4153 | Train Acc=0.9933 | Val Acc=0.7500

[Epoch 029] Train Loss=0.0151 | Val Loss=0.3597 | Train Acc=0.9942 | Val Acc=0.8125

[Epoch 030] Train Loss=0.0204 | Val Loss=0.8604 | Train Acc=0.9923 | Val Acc=0.6875

[Epoch 031] Train Loss=0.0175 | Val Loss=0.3226 | Train Acc=0.9939 | Val Acc=0.8125

[Epoch 032] Train Loss=0.0139 | Val Loss=0.8446 | Train Acc=0.9960 | Val Acc=0.7500

[Epoch 033] Train Loss=0.0121 | Val Loss=0.6681 | Train Acc=0.9956 | Val Acc=0.7500

[Epoch 034] Train Loss=0.0139 | Val Loss=0.3130 | Train Acc=0.9942 | Val Acc=0.8750

[Epoch 035] Train Loss=0.0097 | Val Loss=0.8150 | Train Acc=0.9969 | Val Acc=0.8750

[Epoch 036] Train Loss=0.0192 | Val Loss=0.4263 | Train Acc=0.9929 | Val Acc=0.8750

[Epoch 037] Train Loss=0.0130 | Val Loss=0.2862 | Train Acc=0.9946 | Val Acc=0.8750

[Epoch 038] Train Loss=0.0161 | Val Loss=0.3631 | Train Acc=0.9944 | Val Acc=0.8750

[Epoch 039] Train Loss=0.0107 | Val Loss=0.3554 | Train Acc=0.9960 | Val Acc=0.8750

[Epoch 040] Train Loss=0.0237 | Val Loss=0.4395 | Train Acc=0.9939 | Val Acc=0.8125

[Epoch 041] Train Loss=0.0146 | Val Loss=0.0960 | Train Acc=0.9950 | Val Acc=0.9375

[Epoch 042] Train Loss=0.0136 | Val Loss=0.0226 | Train Acc=0.9956 | Val Acc=1.0000

[Epoch 043] Train Loss=0.0090 | Val Loss=0.1920 | Train Acc=0.9973 | Val Acc=0.8750

[Epoch 044] Train Loss=0.0150 | Val Loss=0.3887 | Train Acc=0.9958 | Val Acc=0.8750

[Epoch 045] Train Loss=0.0123 | Val Loss=0.1331 | Train Acc=0.9960 | Val Acc=0.9375

[Epoch 046] Train Loss=0.0080 | Val Loss=0.0334 | Train Acc=0.9971 | Val Acc=1.0000

[Epoch 047] Train Loss=0.0138 | Val Loss=0.1894 | Train Acc=0.9948 | Val Acc=0.8750

[Epoch 048] Train Loss=0.0140 | Val Loss=0.2880 | Train Acc=0.9950 | Val Acc=0.8750

[Epoch 049] Train Loss=0.0070 | Val Loss=0.0601 | Train Acc=0.9979 | Val Acc=0.9375

[Epoch 050] Train Loss=0.0088 | Val Loss=0.2942 | Train Acc=0.9965 | Val Acc=0.8750

[Epoch 051] Train Loss=0.0127 | Val Loss=0.3723 | Train Acc=0.9960 | Val Acc=0.8750

[Epoch 052] Train Loss=0.0128 | Val Loss=0.0356 | Train Acc=0.9956 | Val Acc=1.0000

[Epoch 053] Train Loss=0.0101 | Val Loss=0.3668 | Train Acc=0.9952 | Val Acc=0.8750

[Epoch 054] Train Loss=0.0097 | Val Loss=0.3621 | Train Acc=0.9960 | Val Acc=0.8750

[Epoch 055] Train Loss=0.0076 | Val Loss=0.1384 | Train Acc=0.9975 | Val Acc=0.9375

[Epoch 056] Train Loss=0.0114 | Val Loss=0.9252 | Train Acc=0.9960 | Val Acc=0.8125

[Epoch 057] Train Loss=0.0121 | Val Loss=0.0741 | Train Acc=0.9960 | Val Acc=0.9375

[Epoch 058] Train Loss=0.0104 | Val Loss=0.2309 | Train Acc=0.9954 | Val Acc=0.8750

[Epoch 059] Train Loss=0.0070 | Val Loss=0.1081 | Train Acc=0.9973 | Val Acc=0.9375

[Epoch 060] Train Loss=0.0087 | Val Loss=0.2612 | Train Acc=0.9973 | Val Acc=0.9375

[Epoch 061] Train Loss=0.0047 | Val Loss=0.5443 | Train Acc=0.9983 | Val Acc=0.8125

[Epoch 062] Train Loss=0.0126 | Val Loss=0.2025 | Train Acc=0.9958 | Val Acc=0.9375

[Epoch 063] Train Loss=0.0085 | Val Loss=0.1361 | Train Acc=0.9965 | Val Acc=0.8750

[Epoch 064] Train Loss=0.0125 | Val Loss=0.0785 | Train Acc=0.9960 | Val Acc=0.9375

[Epoch 065] Train Loss=0.0082 | Val Loss=0.0595 | Train Acc=0.9969 | Val Acc=0.9375

[Epoch 066] Train Loss=0.0075 | Val Loss=0.2523 | Train Acc=0.9979 | Val Acc=0.8750

[Epoch 067] Train Loss=0.0040 | Val Loss=1.2751 | Train Acc=0.9988 | Val Acc=0.6250

[Epoch 068] Train Loss=0.0064 | Val Loss=0.0114 | Train Acc=0.9981 | Val Acc=1.0000

[Epoch 069] Train Loss=0.0054 | Val Loss=0.0947 | Train Acc=0.9975 | Val Acc=0.9375

[Epoch 070] Train Loss=0.0066 | Val Loss=0.1205 | Train Acc=0.9971 | Val Acc=0.9375

[Epoch 071] Train Loss=0.0050 | Val Loss=0.0008 | Train Acc=0.9985 | Val Acc=1.0000

